#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-2D86E1B07284E1C8-2D5D5C767EAB92F0
#datatype	hitsFull Results
#status	0
#Start time	2021-08-28T13:40:40	Run time	0:00:00:04
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >AT1G57650.1	non-specific	215633	74	457	3.28893e-91	308.342	PLN03210	PLN03210	NC	cl33662
Q#1 - >AT1G57650.1	superfamily	215633	74	457	3.28893e-91	308.342	cl33662	PLN03210 superfamily	NC	 - 
Q#1 - >AT1G57650.1	specific	400188	338	357	1.89066e-06	44.6361	pfam07725	LRR_3	 - 	cl37564
Q#1 - >AT1G57650.1	superfamily	400188	338	357	1.89066e-06	44.6361	cl37564	LRR_3 superfamily	 - 	 - 
Q#1 - >AT1G57650.1	non-specific	227223	297	496	0.0006194	42.6478	COG4886	LRR	NC	cl34836
Q#1 - >AT1G57650.1	superfamily	227223	297	496	0.0006194	42.6478	cl34836	LRR superfamily	NC	 - 
Q#2 - >AT1G57650.2	non-specific	215633	74	457	2.25689e-91	307.572	PLN03210	PLN03210	NC	cl33662
Q#2 - >AT1G57650.2	superfamily	215633	74	457	2.25689e-91	307.572	cl33662	PLN03210 superfamily	NC	 - 
Q#2 - >AT1G57650.2	specific	400188	338	357	1.93292e-06	44.2509	pfam07725	LRR_3	 - 	cl37564
Q#2 - >AT1G57650.2	superfamily	400188	338	357	1.93292e-06	44.2509	cl37564	LRR_3 superfamily	 - 	 - 
Q#2 - >AT1G57650.2	non-specific	227223	297	496	0.00169784	41.107	COG4886	LRR	NC	cl34836
Q#2 - >AT1G57650.2	superfamily	227223	297	496	0.00169784	41.107	cl34836	LRR superfamily	NC	 - 
