#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-1E737D815D29F0AF-20AC025B4F3916AF
#datatype	hitsConcise Results
#status	0
#Start time	2021-08-28T17:25:53	Run time	0:00:00:21
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >AT1G53780.1	specific	224143	180	594	0	589.236	COG1222	RPT1	 - 	cl34191
Q#1 - >AT1G53780.1	superfamily	412213	1	74	5.75236e-29	112.82	cl00197	cyclophilin superfamily	N	 - 
Q#2 - >AT1G08590.1	superfamily	215061	11	1011	0	616.09	cl33413	PLN00113 superfamily	 - 	 - 
Q#3 - >AT1G45616.1	superfamily	215061	234	915	2.10053e-63	232.431	cl33413	PLN00113 superfamily	C	 - 
Q#3 - >AT1G45616.1	superfamily	178695	81	174	1.31951e-08	58.6738	cl31977	PLN03150 superfamily	NC	 - 
Q#3 - >AT1G45616.1	specific	400522	37	93	4.73608e-06	44.21	pfam08263	LRRNT_2	 - 	cl08472
Q#4 - >AT1G71390.1	superfamily	215061	10	708	7.42931e-79	273.262	cl33413	PLN00113 superfamily	C	 - 
Q#5 - >AT1G04210.1	superfamily	419665	820	1104	8.59268e-40	148.062	cl21453	PKc_like superfamily	 - 	 - 
Q#5 - >AT1G04210.1	superfamily	405130	503	715	6.37691e-14	71.4224	cl18686	EDR1 superfamily	 - 	 - 
Q#5 - >AT1G04210.1	specific	227223	25	326	7.83488e-13	71.5377	COG4886	LRR	N	cl34836
Q#6 - >AT1G53780.3	specific	224143	207	595	0	588.85	COG1222	RPT1	 - 	cl34191
Q#6 - >AT1G53780.3	superfamily	412213	1	74	5.77803e-29	112.82	cl00197	cyclophilin superfamily	N	 - 
Q#7 - >AT2G33060.1	superfamily	215061	15	712	1.35502e-64	233.201	cl33413	PLN00113 superfamily	C	 - 
Q#8 - >AT2G01820.1	specific	270968	591	866	8.97468e-95	299.958	cd14066	STKc_IRAK	 - 	cl21453
Q#8 - >AT2G01820.1	superfamily	215061	35	865	1.17956e-51	196.607	cl33413	PLN00113 superfamily	 - 	 - 
Q#9 - >AT2G32680.1	superfamily	215061	144	810	1.53116e-66	240.52	cl33413	PLN00113 superfamily	C	 - 
Q#9 - >AT2G32680.1	specific	404697	99	159	2.12657e-05	42.8967	pfam13855	LRR_8	 - 	cl38440
Q#10 - >AT2G34930.1	superfamily	215061	234	893	7.41372e-80	278.655	cl33413	PLN00113 superfamily	C	 - 
Q#10 - >AT2G34930.1	superfamily	178695	29	158	2.16635e-11	67.5334	cl31977	PLN03150 superfamily	N	 - 
Q#10 - >AT2G34930.1	superfamily	178695	378	467	0.00212825	41.725	cl31977	PLN03150 superfamily	N	 - 
Q#11 - >AT3G28890.1	superfamily	215061	16	631	3.05974e-85	289.055	cl33413	PLN00113 superfamily	C	 - 
Q#12 - >AT3G11010.1	superfamily	215061	12	654	3.30131e-76	268.255	cl33413	PLN00113 superfamily	C	 - 
Q#12 - >AT3G11010.1	superfamily	215061	503	817	9.66548e-36	146.532	cl33413	PLN00113 superfamily	C	 - 
Q#13 - >AT3G28890.2	superfamily	215061	16	631	3.05974e-85	289.055	cl33413	PLN00113 superfamily	C	 - 
Q#14 - >AT4G19470.1	superfamily	215633	61	385	0.00114821	41.3987	cl33662	PLN03210 superfamily	N	 - 
Q#15 - >AT4G13810.1	superfamily	215061	5	673	8.36647e-74	258.239	cl33413	PLN00113 superfamily	C	 - 
Q#16 - >AT4G13810.2	superfamily	215061	19	638	2.22747e-68	242.061	cl33413	PLN00113 superfamily	C	 - 
Q#17 - >AT5G43020.1	superfamily	419665	381	648	9.1869e-70	228.311	cl21453	PKc_like superfamily	 - 	 - 
Q#17 - >AT5G43020.1	superfamily	215061	80	646	4.33531e-30	126.886	cl33413	PLN00113 superfamily	N	 - 
Q#17 - >AT5G43020.1	specific	400522	41	72	0.00311043	35.7356	pfam08263	LRRNT_2	 - 	cl08472
